iter	Passed	Remaining
0	1	140
1	3	174
2	5	172
3	6	164
4	8	169
5	10	161
6	12	159
7	14	161
8	18	184
9	20	186
10	22	178
11	24	181
12	27	181
13	30	186
14	32	185
15	36	189
16	39	193
17	42	194
18	45	195
19	49	199
20	51	192
21	54	193
22	61	204
23	63	200
24	66	199
25	72	205
26	73	199
27	76	195
28	77	189
29	79	185
30	82	184
31	84	179
32	87	176
33	90	175
34	93	174
35	95	169
36	99	170
37	103	168
38	105	164
39	109	163
40	113	163
41	114	158
42	116	154
43	119	152
44	121	148
45	123	144
46	126	142
47	127	138
48	129	134
49	130	130
50	132	127
51	133	123
52	134	119
53	135	115
54	137	112
55	139	109
56	140	106
57	142	103
58	144	100
59	146	97
60	148	95
61	152	93
62	155	91
63	158	88
64	159	86
65	163	83
66	163	80
67	165	78
68	168	75
69	170	73
70	174	71
71	175	68
72	177	65
73	179	63
74	181	60
75	184	58
76	186	55
77	189	53
78	192	51
79	194	48
80	196	45
81	200	43
82	201	41
83	204	38
84	206	36
85	208	33
86	211	31
87	212	28
88	214	26
89	216	24
90	219	21
91	221	19
92	224	16
93	227	14
94	229	12
95	231	9
96	234	7
97	237	4
98	240	2
99	241	0
