iter	Passed	Remaining
0	128	128273
1	129	64579
2	130	43341
3	131	32762
4	132	26450
5	134	22233
6	135	19166
7	136	16904
8	137	15116
9	138	13688
10	139	12517
11	140	11541
12	141	10715
13	141	9991
14	142	9369
15	143	8812
16	144	8339
17	144	7901
18	145	7521
19	146	7177
20	147	6867
21	148	6582
22	148	6321
23	149	6079
24	150	5856
25	150	5651
26	151	5465
27	152	5291
28	153	5132
29	154	4985
30	154	4842
31	155	4705
32	156	4581
33	157	4462
34	157	4352
35	158	4249
36	159	4148
37	160	4060
38	161	3972
39	161	3887
40	162	3803
41	163	3730
42	164	3654
43	165	3586
44	165	3516
45	166	3451
46	167	3386
47	167	3328
48	168	3273
49	169	3219
50	170	3170
51	171	3121
52	171	3072
53	172	3026
54	173	2979
55	174	2936
56	175	2895
57	175	2852
58	176	2810
59	177	2773
60	177	2734
61	178	2699
62	179	2663
63	179	2632
64	180	2600
65	181	2568
66	182	2537
67	182	2507
68	183	2478
69	184	2449
70	185	2422
71	185	2396
72	186	2371
73	187	2346
74	188	2322
75	189	2297
76	189	2274
77	190	2251
78	191	2228
79	191	2207
80	192	2186
81	193	2165
82	193	2142
83	194	2122
84	195	2103
85	196	2084
86	196	2065
87	197	2046
88	198	2030
89	199	2014
90	199	1997
91	200	1981
92	201	1964
93	202	1949
94	203	1933
95	203	1918
96	204	1904
97	205	1889
98	205	1874
99	206	1860
100	207	1845
101	208	1831
102	208	1817
103	209	1804
104	210	1790
105	210	1777
106	211	1765
107	212	1753
108	213	1741
109	213	1728
110	214	1716
111	215	1704
112	215	1692
113	216	1681
114	217	1670
115	217	1659
116	218	1647
117	218	1636
118	219	1626
119	220	1615
120	221	1605
121	221	1594
122	222	1584
123	222	1575
124	223	1566
125	224	1558
126	225	1547
127	226	1540
128	226	1531
129	227	1522
130	228	1514
131	229	1506
132	229	1498
133	230	1490
134	231	1482
135	232	1474
136	232	1466
137	233	1458
138	234	1450
139	234	1441
140	235	1434
141	236	1426
142	236	1419
143	237	1412
144	238	1405
145	238	1397
146	239	1391
147	240	1384
148	241	1377
149	242	1371
150	242	1364
151	243	1357
152	244	1351
153	244	1344
154	245	1337
155	245	1330
156	246	1324
157	247	1318
158	248	1312
159	248	1307
160	249	1299
161	250	1293
162	250	1287
163	251	1281
164	252	1275
165	252	1269
166	253	1264
167	254	1258
168	254	1253
169	255	1247
170	256	1242
171	256	1237
172	257	1231
173	258	1226
174	258	1220
175	259	1215
176	260	1210
177	261	1205
178	261	1200
179	262	1195
180	263	1190
181	263	1185
182	264	1180
183	265	1175
184	265	1171
185	266	1167
186	267	1162
187	268	1157
188	268	1153
189	269	1149
190	270	1145
191	270	1140
192	271	1135
193	272	1131
194	273	1127
195	273	1123
196	274	1118
197	275	1114
198	275	1110
199	276	1106
200	277	1101
201	277	1097
202	278	1094
203	279	1090
204	280	1086
205	280	1082
206	281	1078
207	282	1074
208	282	1070
209	283	1066
210	284	1062
211	284	1059
212	285	1055
